Generation,GA_Cost,PSO_Cost,ACS_Cost,MEAF_Cost
314,2023.6455,0.0000,0.0000,0.0000
315,2023.6455,0.0000,0.0000,0.0000
316,2023.6455,0.0000,0.0000,0.0000
317,2023.6455,0.0000,0.0000,0.0000
318,2023.6455,0.0000,0.0000,0.0000
319,2023.6455,0.0000,0.0000,0.0000
320,2023.6455,0.0000,0.0000,0.0000
321,2023.6455,0.0000,0.0000,0.0000
322,2023.6455,0.0000,0.0000,0.0000
323,2023.6455,0.0000,0.0000,0.0000
324,2023.6455,0.0000,0.0000,0.0000
325,2023.6455,0.0000,0.0000,0.0000
326,2023.6455,0.0000,0.0000,0.0000
327,2023.6455,0.0000,0.0000,0.0000
328,2023.5474,0.0000,0.0000,0.0000
329,2023.4381,0.0000,0.0000,0.0000
330,2023.4381,0.0000,0.0000,0.0000
331,2023.2918,0.0000,0.0000,0.0000
332,2023.2918,0.0000,0.0000,0.0000
333,2023.2918,0.0000,0.0000,0.0000
334,2023.2918,0.0000,0.0000,0.0000
335,2023.2918,0.0000,0.0000,0.0000
336,2023.2918,0.0000,0.0000,0.0000
337,2023.2918,0.0000,0.0000,0.0000
338,2023.2918,0.0000,0.0000,0.0000
339,2023.2918,0.0000,0.0000,0.0000
340,2023.2918,0.0000,0.0000,0.0000
341,2023.2918,0.0000,0.0000,0.0000
342,2023.2918,0.0000,0.0000,0.0000
343,2023.2918,0.0000,0.0000,0.0000
344,2021.5806,0.0000,0.0000,0.0000
345,2021.5806,0.0000,0.0000,0.0000
346,2021.5806,0.0000,0.0000,0.0000
347,2021.5806,0.0000,0.0000,0.0000
348,2021.5806,0.0000,0.0000,0.0000
349,2021.5806,0.0000,0.0000,0.0000
350,2021.5806,0.0000,0.0000,0.0000
351,2021.4558,0.0000,0.0000,0.0000
352,2021.4558,0.0000,0.0000,0.0000
353,2021.4558,0.0000,0.0000,0.0000
354,2021.4558,0.0000,0.0000,0.0000
355,2021.4558,0.0000,0.0000,0.0000
356,2021.4558,0.0000,0.0000,0.0000
357,2021.4558,0.0000,0.0000,0.0000
358,2021.4558,0.0000,0.0000,0.0000
359,2021.4558,0.0000,0.0000,0.0000
360,2021.4558,0.0000,0.0000,0.0000
361,2020.8932,0.0000,0.0000,0.0000
362,2020.8909,0.0000,0.0000,0.0000
363,2020.8909,0.0000,0.0000,0.0000
364,2020.8859,0.0000,0.0000,0.0000
365,2020.8859,0.0000,0.0000,0.0000
366,2020.8859,0.0000,0.0000,0.0000
367,2020.8859,0.0000,0.0000,0.0000
368,2020.8859,0.0000,0.0000,0.0000
369,2020.8859,0.0000,0.0000,0.0000
370,2020.8859,0.0000,0.0000,0.0000
371,2020.8859,0.0000,0.0000,0.0000
372,2020.8859,0.0000,0.0000,0.0000
373,2020.8859,0.0000,0.0000,0.0000
374,2020.8859,0.0000,0.0000,0.0000
375,2020.8859,0.0000,0.0000,0.0000
376,2020.4227,0.0000,0.0000,0.0000
377,2020.4227,0.0000,0.0000,0.0000
378,2020.4227,0.0000,0.0000,0.0000
379,2020.4227,0.0000,0.0000,0.0000
380,2020.4227,0.0000,0.0000,0.0000
381,2020.4227,0.0000,0.0000,0.0000
382,2020.3352,0.0000,0.0000,0.0000
383,2020.3352,0.0000,0.0000,0.0000
384,2020.3352,0.0000,0.0000,0.0000
385,2020.3352,0.0000,0.0000,0.0000
386,2020.3352,0.0000,0.0000,0.0000
387,2020.3352,0.0000,0.0000,0.0000
388,2020.3352,0.0000,0.0000,0.0000
389,2020.3352,0.0000,0.0000,0.0000
390,2020.3352,0.0000,0.0000,0.0000
391,2020.3352,0.0000,0.0000,0.0000
392,2020.2198,0.0000,0.0000,0.0000
393,2020.2198,0.0000,0.0000,0.0000
394,2020.2198,0.0000,0.0000,0.0000
395,2018.5003,0.0000,0.0000,0.0000
396,2018.5003,0.0000,0.0000,0.0000
397,2018.5003,0.0000,0.0000,0.0000
398,2018.5003,0.0000,0.0000,0.0000
399,2018.5003,0.0000,0.0000,0.0000
400,2018.5003,0.0000,0.0000,0.0000
401,2018.5003,0.0000,0.0000,0.0000
402,2018.5003,0.0000,0.0000,0.0000
403,2018.5003,0.0000,0.0000,0.0000
404,2018.4208,0.0000,0.0000,0.0000
405,2018.4208,0.0000,0.0000,0.0000
406,2018.4208,0.0000,0.0000,0.0000
407,2018.4208,0.0000,0.0000,0.0000
408,2018.4208,0.0000,0.0000,0.0000
409,2018.4208,0.0000,0.0000,0.0000
410,2018.4208,0.0000,0.0000,0.0000
411,2018.4208,0.0000,0.0000,0.0000
412,2018.4208,0.0000,0.0000,0.0000
413,2018.4208,0.0000,0.0000,0.0000
414,2018.4208,0.0000,0.0000,0.0000
415,2018.3473,0.0000,0.0000,0.0000
416,2018.3473,0.0000,0.0000,0.0000
417,2018.3473,0.0000,0.0000,0.0000
418,2018.3473,0.0000,0.0000,0.0000
419,2018.3473,0.0000,0.0000,0.0000
420,2018.3473,0.0000,0.0000,0.0000
421,2017.6420,0.0000,0.0000,0.0000
422,2017.6420,0.0000,0.0000,0.0000
423,2017.6420,0.0000,0.0000,0.0000
424,2017.6420,0.0000,0.0000,0.0000
425,2017.6420,0.0000,0.0000,0.0000
